condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,ASPCT,Aspartate carbamoyltransferase,0.09340004880980962,,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c
glucose_aerobic,ASPK,Aspartate kinase,0.3671821087025787,,asp__L_c + atp_c --> 4pasp_c + adp_c
glucose_aerobic,CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),0.22910879965733583,,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c
glucose_aerobic,ASPTA,Aspartate transaminase,3.182644665023783,,akg_c + asp__L_c <=> glu__L_c + oaa_c
glucose_aerobic,ASPTAm,Aspartate transaminase,-4.297525410396506,,akg_m + asp__L_m <=> glu__L_m + oaa_m
glucose_aerobic,3MOBtm,3 methyl 2 oxobutanoate transport  diffusion  mitochondrial,-0.22345074968422796,,3mob_c <=> 3mob_m
glucose_aerobic,ASPt2m,Aspartate mitochondrial transport via proton symport,-4.297525410396506,,asp__L_c + h_c <=> asp__L_m + h_m
glucose_aerobic,ATPM,ATP maintenance requirement,1.0,,atp_c + h2o_c --> adp_c + h_c + pi_c
glucose_aerobic,ATPPRT,ATP phosphoribosyltransferase,0.055989360181648955,,atp_c + prpp_c --> ppi_c + prbatp_c
glucose_aerobic,ATPS3m,ATP synthase  mitochondrial,43.019322467757895,,adp_m + 3.0 h_c + pi_m --> atp_m + h2o_m + 2.0 h_m
glucose_aerobic,CITtbm,Citrate transport  mitochondrial,-0.223197404163044,,cit_c + pep_m <=> cit_m + pep_c
glucose_aerobic,CHLSTI,Cholestenol delta isomerase  lumped reaction,0.0005911395494291744,,amet_c + o2_c + zymst_c --> ahcys_c + ergtetrol_c + 2.0 h2o_c + h_c
glucose_aerobic,CHORM,Chorismate mutase,0.19921402815763178,,chor_c --> pphn_c
glucose_aerobic,CHORS,Chorismate synthase,0.223197404163044,,3psme_c --> chor_c + pi_c
glucose_aerobic,CO2t,CO2 transporter via diffusion,-23.616493879293575,,co2_e <=> co2_c
glucose_aerobic,CO2tm,CO2 transport  diffusion   mitochondrial,-16.1668104832561,,co2_c <=> co2_m
glucose_aerobic,COAtim,CoA transporter  mitochondrial   irreversible,0.011147202932092988,,coa_c --> coa_m
glucose_aerobic,CITtam,Citrate transport  mitochondrial,-5.260669078281456,,cit_c + mal__L_m <=> cit_m + mal__L_c
glucose_aerobic,DDPAm,2 deoxy D arabino heptulosonate 7 phosphate synthetase  mitochondrial,0.223197404163044,,e4p_m + h2o_m + pep_m --> 2dda7p_m + pi_m
glucose_aerobic,DESAT16,Palmitoyl CoA desaturase  n C160CoA   n C161CoA,0.008039497872236774,,h_c + nadph_c + o2_c + pmtcoa_c --> 2.0 h2o_c + hdcoa_c + nadp_c
glucose_aerobic,DESAT18,Stearoyl CoA desaturase  n C180CoA   n C181CoA,0.015606084104930208,,h_c + nadph_c + o2_c + stcoa_c --> 2.0 h2o_c + nadp_c + odecoa_c
glucose_aerobic,CSm,Citrate synthase,7.047519581187799,,accoa_m + h2o_m + oaa_m --> cit_m + coa_m + h_m
glucose_aerobic,DESAT18_2,Oleoyl CoA desaturase  n C181CoA   n C182CoA,0.004256204755890057,,h_c + nadph_c + o2_c + odecoa_c --> 2.0 h2o_c + nadp_c + ocdycacoa_c
glucose_aerobic,DGK1,Deoxyguanylate kinase (dGMP:ATP),-0.002026764169471455,,atp_c + dgmp_c <=> adp_c + dgdp_c
glucose_aerobic,CTPS1,CTP synthase  NH3,0.0377484826564059,,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c
glucose_aerobic,DHAD1m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylbutanoate   mitochondrial,0.47375612461395267,,23dhmb_m --> 3mob_m + h2o_m
glucose_aerobic,DHAD2m,Dihydroxy acid dehydratase  2 3 dihydroxy 3 methylpentanoate   mitochondrial,0.1627322731071456,,23dhmp_m --> 3mop_m + h2o_m
glucose_aerobic,CYOOm,Cytochrome c oxidase  mitochondrial,19.952928402164023,,4.0 focytc_m + 6.0 h_m + o2_m --> 4.0 ficytc_m + 2.0 h2o_m + 6.0 h_c
glucose_aerobic,CYOR_u6m,Ubiquinol 6 cytochrome c reductase,39.905856804328046,,2.0 ficytc_m + 1.5 h_m + q6h2_m --> 2.0 focytc_m + 1.5 h_c + q6_m
glucose_aerobic,DHFR,Dihydrofolate reductase,0.003040146254207183,,dhf_c + h_c + nadph_c --> nadp_c + thf_c
glucose_aerobic,CYSTGL,Cystathionine g lyase,0.005573601466046518,,cyst__L_c + h2o_c --> 2obut_c + cys__L_c + nh4_c
glucose_aerobic,CYSTS,Cystathionine beta synthase,0.005573601466046518,,hcys__L_c + ser__L_c --> cyst__L_c + h2o_c
glucose_aerobic,DHORD4i,Dihydoorotic acid  ubiquinone 6   irreversible,0.09340004880980962,,dhor__S_c + q6_m --> orot_c + q6h2_m
glucose_aerobic,DHORTS,Dihydroorotase,-0.09340004880980962,,dhor__S_c + h2o_c <=> cbasp_c + h_c
glucose_aerobic,DHQS,3-dehydroquinate synthase,0.223197404163044,,2dda7p_c --> 3dhq_c + pi_c
glucose_aerobic,DHQTi,"3-dehydroquinate dehydratase, irreversible",0.223197404163044,,3dhq_c --> 3dhsk_c + h2o_c
glucose_aerobic,CYTK1,Cytidylate kinase (CMP),-0.0229699939206765,,atp_c + cmp_c <=> adp_c + cdp_c
glucose_aerobic,DADK,Deoxyadenylate kinase,-0.003040146254207183,,atp_c + damp_c <=> adp_c + dadp_c
glucose_aerobic,DAGPYP_SC,Diacylglycerol pyrophosphate phosphatase  yeast specific,0.005573601466046503,,h2o_c + 0.01 pa_SC_c --> 0.01 12dgr_SC_c + pi_c
glucose_aerobic,DMATT,Dimethylallyltranstransferase,0.003715734310697668,,dmpp_c + ipdp_c --> grdp_c + ppi_c
glucose_aerobic,DOLPMMer,Dolichyl phosphate mannose  protein mannosyltransferase  endoplasmic reticular,0.6822594885483286,,dolmanp_r --> dolp_r + h_r + mannan_r
glucose_aerobic,DASYN_SC,CDP Diacylglycerol synthetase  yeast specific,0.014778488735729364,,ctp_c + h_c + 0.01 pa_SC_c <=> 0.01 cdpdag_SC_c + ppi_c
glucose_aerobic,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0.0016720804398139507,,ru5p__D_c --> db4p_c + for_c + h_c
glucose_aerobic,DCMPDA,DCMP deaminase,-0.002026764169471455,,dcmp_c + h2o_c + h_c <=> dump_c + nh4_c
glucose_aerobic,DOLPMTcer,Dolichyl phosphate D mannosyltransferase,0.6822594885483286,,dolp_c + gdpmann_c --> dolmanp_r + gdp_c
glucose_aerobic,DOLPt2er,Dolichol phosphate endoplasmic reticular transport via proton symport,-0.6822594885483286,,dolp_c + h_c <=> dolp_r + h_r
glucose_aerobic,DPMVD,Diphosphomevalonate decarboxylase,0.011147202932093005,,5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c
glucose_aerobic,DROPPRy,2 5 diamino 6 ribosylamino 4 3H  pyrimidinone 5  phosphate reductase  nadph,0.0008360402199069754,,25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
glucose_aerobic,DRTPPD,2 5 diamino 6 ribitylamino 4 3H  pyrimidinone 5  phosphate deaminase,0.0008360402199069754,,25dthpp_c + h2o_c + h_c --> 5aprbu_c + nh4_c
glucose_aerobic,ENO,Enolase,14.54750050802964,,2pg_c <=> h2o_c + pep_c
glucose_aerobic,ERGSTter,Ergosterol endoplasmic reticular transport,0.0005911395494291744,,ergst_r <=> ergst_c
glucose_aerobic,ERGTETROLter,Ergosta 5 6 22 24  28  tetraen 3beta ol endoplamic reticular transport,0.0005911395494291744,,ergtetrol_c <=> ergtetrol_r
glucose_aerobic,E4Ptm,D erythrose 4 phosphate mtiochondrial transport via diffusion,0.223197404163044,,e4p_c <=> e4p_m
glucose_aerobic,ETOHt,Ethanol reversible transport,-3.013316195182817,,etoh_e <=> etoh_c
glucose_aerobic,EX_etoh_e,Ethanol exchange,3.013316195182817,,etoh_e --> 
glucose_aerobic,6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,-0.0024490067047780086,,6pgl_c <=> 6pgl_r
glucose_aerobic,EX_for_e,Formate exchange,0.00436598781506976,,for_e --> 
glucose_aerobic,EX_glc__D_e,D-Glucose exchange,-10.0,,glc__D_e <=> 
glucose_aerobic,EX_h2o_e,H2O exchange,30.679666440024146,,h2o_e <=> 
glucose_aerobic,EX_h_e,H+ exchange,4.252353903966701,,h_e <=> 
glucose_aerobic,AASAD2,L aminoadipate semialdehyde dehydrogenase  NADH,0.24169162720947107,,L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
glucose_aerobic,EX_co2_e,CO2 exchange,23.616493879293575,,co2_e --> 
glucose_aerobic,AATA,2 aminoadipate transaminase,0.24169162720947107,,2oxoadp_c + glu__L_c <=> L2aadp_c + akg_c
glucose_aerobic,EX_so4_e,Sulfate exchange,-0.06527869595839317,,so4_e <=> 
glucose_aerobic,EX_nh4_e,Ammonia exchange,-4.726126918283443,,nh4_e <=> 
glucose_aerobic,EX_o2_e,O2 exchange,-20.0,,o2_e <=> 
glucose_aerobic,EX_pi_e,Phosphate exchange,-0.16695469846022348,,pi_e <=> 
glucose_aerobic,ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,0.011147202932093005,,2.0 accoa_m --> aacoa_m + coa_m
glucose_aerobic,FAS100COA,Fatty acyl CoA synthase  n C100CoA,0.04729116395433397,,3.0 h_c + malcoa_c + 2.0 nadph_c + occoa_c --> co2_c + coa_c + dcacoa_c + h2o_c + 2.0 nadp_c
glucose_aerobic,FAS120COA,Fatty acyl CoA synthase  n C120CoA,0.04634534067524729,,dcacoa_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + ddcacoa_c + h2o_c + 2.0 nadp_c
glucose_aerobic,FAS140COA,Fatty acyl CoA synthase  n C140CoA,0.04350787083798725,,ddcacoa_c + 3.0 h_c + malcoa_c + 2.0 nadph_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + tdcoa_c
glucose_aerobic,FAS160COA,Fatty acyl CoA synthase  n C160CoA,0.03877875444255385,,3.0 h_c + malcoa_c + 2.0 nadph_c + tdcoa_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + pmtcoa_c
glucose_aerobic,FAS180COA,Fatty acyl CoA synthase  n C180CoA,0.017970642302646906,,3.0 h_c + malcoa_c + 2.0 nadph_c + pmtcoa_c --> co2_c + coa_c + h2o_c + 2.0 nadp_c + stcoa_c
glucose_aerobic,G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),0.13908669112997862,,glu5sa_c <=> 1pyr5c_c + h2o_c + h_c
glucose_aerobic,GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,0.08359557713999533,,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
glucose_aerobic,G6PDH2er,Glucose 6 phosphate dehydrogenase  endoplasmic reticulum,0.0024490067047780086,,g6p_r + nadp_r --> 6pgl_r + h_r + nadph_r
glucose_aerobic,G6Pter,Glucose 6 phosphate endoplasmic reticular transport via diffusion,0.0024490067047780086,,g6p_c <=> g6p_r
glucose_aerobic,GLUt7m,Glutamate transport  uniporter   mitochondrial,5.095986044661198,,glu__L_c --> glu__L_m
glucose_aerobic,GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),1.4159481178969955,,g1p_c + h_c + utp_c <=> ppi_c + udpg_c
glucose_aerobic,GAPD,Glyceraldehyde-3-phosphate dehydrogenase,15.028755660070644,,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
glucose_aerobic,FAS80COA_L,Fatty acyl CoA synthase  n C80CoA   lumped reaction,0.04729116395433397,,accoa_c + 9.0 h_c + 3.0 malcoa_c + 6.0 nadph_c --> 3.0 co2_c + 3.0 coa_c + 3.0 h2o_c + 6.0 nadp_c + occoa_c
glucose_aerobic,GARFT,Phosphoribosylglycinamide formyltransferase,0.08359557713999533,,10fthf_c + gar_c --> fgam_c + h_c + thf_c
glucose_aerobic,GAT1_SC,Glycerol 3 phosphate acyltransferase  glycerol 3 phosphate   yeast specific,0.02085878124414373,,0.02 dcacoa_c + 0.06 ddcacoa_c + glyc3p_c + 0.17 hdcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.27 pmtcoa_c + 0.05 stcoa_c + 0.1 tdcoa_c --> 0.01 1ag3p_SC_c + coa_c
glucose_aerobic,GMPS2,GMP synthase,0.04170911763758134,,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c
glucose_aerobic,GND,Phosphogluconate dehydrogenase,0.0024490067047780086,,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c
glucose_aerobic,FBA,Fructose-bisphosphate aldolase,7.62991324002102,,fdp_c <=> dhap_c + g3p_c
glucose_aerobic,GHMT2r,"Glycine hydroxymethyltransferase, reversible",0.2848279246163964,,ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
glucose_aerobic,GRTT,Geranyltranstransferase,0.003715734310697668,,grdp_c + ipdp_c --> frdp_c + ppi_c
glucose_aerobic,GK2,Guanylate kinase  GMPdATP,0.0028628043893784427,,datp_c + gmp_c <=> dadp_c + gdp_c
glucose_aerobic,GLCS2,Glycogen synthase  UDPGlc,0.4378655091128956,,udpg_c --> glycogen_c + h_c + udp_c
