metabolite_id,metabolite_name,compartment,formula,charge
tdeACP_c,Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),C_c,C398H627N96O143P0S3,-1
tdecoa_c,Tetradecenoyl-CoA (n-C14:1CoA),C_c,C35H56N7O17P3S,0
tded5_2_coa_c,Trans cis tetradeca 2 5 dienoyl CoA,C_c,C35H54N7O17P3S,0
tded5coa_c,Cis tetradec 5 enoyl CoATetradecenoyl CoA  n C141d5CoA,C_c,C35H56N7O17P3S,0
tet_e,Tetrathionate,C_e,O6S4,-2
tet_p,Tetrathionate,C_p,O6S4,-2
thdp_c,"2,3,4,5-Tetrahydrodipicolinate",C_c,C7H7NO4,-2
thf_c,"5,6,7,8-Tetrahydrofolate",C_c,C19H21N7O6,-2
thm_c,Thiamin,C_c,C12H17N4OS,1
thm_e,Thiamin,C_e,C12H17N4OS,1
thmmp_c,Thiamin monophosphate,C_c,C12H16N4O4PS,-1
thmpp_c,Thiamine diphosphate,C_c,C12H16N4O7P2S,-2
thr__L_c,L-Threonine,C_c,C4H9NO3,0
thr__L_e,L-Threonine,C_e,C4H9NO3,0
thrp_c,L-Threonine O-3-phosphate,C_c,C4H8NO6P,-2
thym_c,Thymine C5H6N2O2,C_c,C5H6N2O2,0
thym_e,Thymine C5H6N2O2,C_e,C5H6N2O2,0
thymd_c,Thymidine C10H14N2O5,C_c,C10H14N2O5,0
thymd_e,Thymidine C10H14N2O5,C_e,C10H14N2O5,0
tnt_c,2 4 6 Trinitrotoluene,C_c,NO2,0
tnt_e,2 4 6 Trinitrotoluene,C_e,NO2,0
tnt_p,2 4 6 Trinitrotoluene,C_p,NO2,0
tntmdh_c,2 4 6 trinitrotoluene  Meisenheimer dihydride complex,C_c,H2NO2,0
tntmmh_c,2 4 6 Trinitrotoluene Meisenheimer monohydride complex,C_c,HNO2,0
trans_dd2coa_c,Trans Dodec 2 enoyl CoA C33H52N7O17P3S,C_c,C33H52N7O17P3S,0
trdox_c,Oxidized thioredoxin,C_c,C10H12N4O4S2,0
trdrd_c,Reduced thioredoxin,C_c,C10H14N4O4S2,0
tre6p_c,"Alpha,alpha'-Trehalose 6-phosphate",C_c,C12H21O14P,-2
tre_c,Trehalose,C_c,C12H22O11,0
trnaglu_c,TRNA (Glu),C_c,C28H34N11O21P3,-3
trp__L_c,L-Tryptophan,C_c,C11H12N2O2,0
trp__L_e,L-Tryptophan,C_e,C11H12N2O2,0
tsul_c,Thiosulfate,C_c,O3S2,0
tsul_e,Thiosulfate,C_e,O3S2,0
tsul_p,Thiosulfate,C_p,O3S2,0
ttdca_c,Tetradecanoate (n-C14:0),C_c,C14H27O2,-1
ttdca_p,Tetradecanoate (n-C14:0),C_p,C14H27O2,-1
ttdcea_c,Tetradecenoate (n-C14:1),C_c,C14H25O2,-1
ttdcea_p,Tetradecenoate (n-C14:1),C_p,C14H25O2,-1
ttrcyc_c,Tetracycline,C_c,C22H24N2O8,0
ttrcyc_e,Tetracycline,C_e,C22H24N2O8,0
ttrcyc_p,Tetracycline,C_p,C22H24N2O8,0
tyr__L_c,L-Tyrosine,C_c,C9H11NO3,0
tyr__L_e,L-Tyrosine,C_e,C9H11NO3,0
uaagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala",C_c,C95H153N8O28P2,0
uaccg_c,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine,C_c,C20H26N3O19P2,-3
uacgam_c,UDP-N-acetyl-D-glucosamine,C_c,C17H25N3O17P2,-2
uagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C_c,C87H140N7O23P2,0
uama_c,UDP-N-acetylmuramoyl-L-alanine,C_c,C23H33N4O20P2,-3
uamag_c,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C_c,C28H39N5O23P2,-4
uamr_c,UDP-N-acetylmuramate,C_c,C20H28N3O19P2,0
udcpdp_c,Undecaprenyl diphosphate,C_c,C55H90O7P2,0
udcpp_c,Undecaprenyl phosphate,C_c,C55H90O4P,-1
udcpp_e,Undecaprenyl phosphate,C_e,C55H90O4P,-1
udp_c,UDP C9H11N2O12P2,C_c,C9H11N2O12P2,-3
udpacgal_c,UDP-N-acetyl-D-galactosamine,C_c,C17H25N3O17P2,0
udpg_c,UDPglucose,C_c,C15H22N2O17P2,-2
udpgal_c,UDPgalactose,C_c,C15H22N2O17P2,-2
ugmd_c,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",C_c,C35H51N7O26P2,-4
ugmda_c,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C_c,C41H61N9O28P2,-4
ump_c,UMP C9H11N2O9P,C_c,C9H11N2O9P,-2
uppg3_c,Uroporphyrinogen III,C_c,C40H36N4O16,-8
ura_c,Uracil,C_c,C4H4N2O2,0
ura_e,Uracil,C_e,C4H4N2O2,0
ura_p,Uracil,C_p,C4H4N2O2,0
urate_c,Urate C5H4N4O3,C_c,C5H4N4O3,0
urcan_c,Urocanate C6H5N2O2,C_c,C6H5N2O2,-1
urdglyc_c,(-)-Ureidoglycolate,C_c,C3H5N2O4,-1
urea_c,Urea CH4N2O,C_c,CH4N2O,0
urea_e,Urea CH4N2O,C_e,CH4N2O,0
uri_c,Uridine,C_c,C9H12N2O6,0
utp_c,UTP C9H11N2O15P3,C_c,C9H11N2O15P3,-4
vacc2coa_c,Trans cis octadeca 2 11 dienoyl CoA,C_c,C39H62N7O17P3S,0
vacc_c,Vaccenic acid,C_c,C18H33O2,0
vacc_p,Vaccenic acid,C_p,C18H33O2,0
vacccoa_c,Vaccenyl coenzyme A,C_c,C39H64N7O17P3S,0
vaccoa_c,Vinylacetyl-CoA,C_c,C25H36N7O17P3S,-4
val__L_c,L-Valine,C_c,C5H11NO2,0
val__L_e,L-Valine,C_e,C5H11NO2,0
xan_c,Xanthine,C_c,C5H4N4O2,0
xan_e,Xanthine,C_e,C5H4N4O2,0
xan_p,Xanthine,C_p,C5H4N4O2,0
xmp_c,Xanthosine 5'-phosphate,C_c,C10H11N4O9P,-2
xtp_c,XTP,C_c,C10H11N4O15P3,-4
xtsn_c,Xanthosine,C_c,C10H12N4O6,0
xu5p__D_c,D-Xylulose 5-phosphate,C_c,C5H9O8P,-2
xyl3_c,Xylotriose,C_c,C15H26O13,0
xyl3_e,Xylotriose,C_e,C15H26O13,0
xyl__D_c,D-Xylose,C_c,C5H10O5,0
xyl__D_e,D-Xylose,C_e,C5H10O5,0
xyl__D_p,D-Xylose,C_p,C5H10O5,0
xylb_c,Xylobiose,C_c,C10H18O9,0
xylb_e,Xylobiose,C_e,C10H18O9,0
xylu__D_c,D-Xylulose,C_c,C5H10O5,0
zn2_c,Zinc,C_c,Zn,2
zn2_e,Zinc,C_e,Zn,2
zn2_p,Zinc,C_p,Zn,2
bzal_c,Benzaldehyde,C_c,C7H6O,0
