reaction_id,reaction_name,equation,lower_bound,upper_bound,gene_rule,subsystem
EX_pro__L_e,EX_pro__L_e,pro__L_e <=> ,-1000.0,1000.0,,
EX_ptrc_e,EX_ptrc_e,ptrc_e <=> ,-1000.0,1000.0,,
EX_pyovd_kt_e,EX_pyovd_kt_e,pyovd_kt_e <=> ,-1000.0,1000.0,,
EX_pyr_e,EX_pyr_e,pyr_e <=> ,-1000.0,1000.0,,
EX_raffin_e,EX_raffin_e,raffin_e <=> ,-1000.0,1000.0,,
EX_rib__D_e,EX_rib__D_e,rib__D_e <=> ,-1000.0,1000.0,,
EX_salchs4_e,EX_salchs4_e,salchs4_e <=> ,-1000.0,1000.0,,
EX_salchs4fe_e,EX_salchs4fe_e,salchs4fe_e <=> ,-1000.0,1000.0,,
EX_sbt__D_e,EX_sbt__D_e,sbt__D_e <=> ,-1000.0,1000.0,,
EX_sel_e,EX_sel_e,sel_e <=> ,-1000.0,1000.0,,
EX_ser__L_e,EX_ser__L_e,ser__L_e <=> ,-1000.0,1000.0,,
EX_slnt_e,EX_slnt_e,slnt_e <=> ,-1000.0,1000.0,,
EX_so3_e,EX_so3_e,so3_e <=> ,-1000.0,1000.0,,
EX_so4_e,EX_so4_e,so4_e <=> ,-1000.0,1000.0,,
EX_spmd_e,EX_spmd_e,spmd_e <=> ,-1000.0,1000.0,,
EX_stfrnA_e,EX_stfrnA_e,stfrnA_e <=> ,-1000.0,1000.0,,
EX_succ_e,EX_succ_e,succ_e <=> ,-1000.0,1000.0,,
EX_taur_e,EX_taur_e,taur_e <=> ,-1000.0,1000.0,,
EX_tcynt_e,EX_tcynt_e,tcynt_e <=> ,-1000.0,1000.0,,
EX_tet_e,EX_tet_e,tet_e <=> ,-1000.0,1000.0,,
EX_thm_e,EX_thm_e,thm_e <=> ,-1000.0,1000.0,,
EX_thr__L_e,EX_thr__L_e,thr__L_e <=> ,-1000.0,1000.0,,
EX_thym_e,EX_thym_e,thym_e <=> ,-1000.0,1000.0,,
EX_thymd_e,EX_thymd_e,thymd_e <=> ,-1000.0,1000.0,,
EX_tnt_e,EX_tnt_e,tnt_e <=> ,-1000.0,1000.0,,
EX_trp__L_e,EX_trp__L_e,trp__L_e <=> ,-1000.0,1000.0,,
EX_tsul_e,EX_tsul_e,tsul_e <=> ,-1000.0,1000.0,,
EX_ttrcyc_e,EX_ttrcyc_e,ttrcyc_e <=> ,-1000.0,1000.0,,
EX_tyr__L_e,EX_tyr__L_e,tyr__L_e <=> ,-1000.0,1000.0,,
EX_udcpp_e,EX_udcpp_e,udcpp_e <=> ,-1000.0,1000.0,,
EX_ura_e,EX_ura_e,ura_e <=> ,-1000.0,1000.0,,
EX_urea_e,EX_urea_e,urea_e <=> ,-1000.0,1000.0,,
EX_val__L_e,EX_val__L_e,val__L_e <=> ,-1000.0,1000.0,,
