reaction_id,reaction_name,subsystem
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",
ALDD2ym,Aldehyde dehydrogenase  acetylaldehyde  NADP   mitochondrial,
ADK3m,Adentylate kinase  GTP,
ADK4,Adentylate kinase (ITP),
ADK4m,Adentylate kinase  ITP   mitochondrial,
ADMDC,Adenosylmethionine decarboxylase,
ADNCYC,Adenylate cyclase,
ADNK1,Adenosine kinase,
ADNUC,Adenosine hydrolase,
ALLTAHr,Allantoate amidinohydrolase  reversible,
ALLTN,Allantoinase,
ALLTNti,Allantoin irreversible uniport,
ALLTTti,Allantoate irreversible uniport,
ADNt2,Adenosine transport in via proton symport,
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial,
ADPT,Adenine phosphoribosyltransferase,
ADSK,Adenylyl-sulfate kinase,
ALPHNH,Allophanate hydrolase,
AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,
ADSL1r,Adenylsuccinate lyase,
AMETt2,S adenosyl L methionine transport in via proton symport,
3DH5HPBMTm,S adenosyl L methionine3 hexaprenyl 4 5 dihydroxylate O methyltransferase  mitochondrial,
AMETtm,S Adenosyl L methionine reversible transport  mitochondrial,
AMID,GUANIDINOBUTANAMIDE-NH3-RXN,
AMID2,Amidase,
AMID3,Amidase,
ADSL2r,Adenylosuccinate lyase,
ADSS,Adenylosuccinate synthase,
AMPN,AMP nucleosidase,
AMPDA,Adenosine monophosphate deaminase,
3DH5HPBtm,3 Hexaprenyl 4 5 dihydroxybenzoate transport  mitochondrial,
AMPtn,AMP transport via diffusion  cytosol to nucleus,
ANPRT,Anthranilate phosphoribosyltransferase,
ATPS3v,ATP synthase  vacuole,
3DSPHR,3 Dehydrosphinganine reductase,
ATPtm_H,ADPATP transporter  mitochondrial,
ATPtp_H,ADPATP transporter  peroxisomal,
ANS,Anthranilate synthase,
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),
AP4AH,Ap4A hydrolase,
APRTO2,N acetylputrescine oxygen oxireductase  deaminating,
ARAB14LO,D arabinono 1 4 lactone oxidase,
BACCL,Biotin acetyl CoA carboxylase ligase,
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,
ARAB1D2,D arabinose 1 dehydrogenase  NADP,
ARABR,Arabinose reductase,
