condition,reaction_id,reaction_name,flux,subsystem,equation
glucose_aerobic,AKP1_2,Alkaline phosphatase (Dihydroneopterin),0.00025666150383723673,,ahdt_c + 3.0 h2o_c --> dhnpt_c + 2.0 h_c + 3.0 pi_c
glucose_aerobic,ALAALAr,D-alanine-D-alanine ligase (reversible),0.03836494825668141,,2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c
glucose_aerobic,ALAR,Alanine racemase,0.07672989651336282,,ala__L_c <=> ala__D_c
glucose_aerobic,ALAS,,0.0008355885730304824,,gly_c + h_c + succoa_c <=> 5aop_c + co2_c + coa_c
glucose_aerobic,ALATA_L,L-alanine transaminase,-0.2712129450614505,,akg_c + ala__L_c <=> glu__L_c + pyr_c
glucose_aerobic,ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",0.2742802226746217,,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c
glucose_aerobic,AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,3.836494825668141e-05,,2dmmq8_c + amet_c --> ahcys_c + h_c + mqn8_c
glucose_aerobic,ANPRT,Anthranilate phosphoribosyltransferase,0.021807787537545413,,anth_c + prpp_c --> ppi_c + pran_c
glucose_aerobic,ANS,Anthranilate synthase,0.021807787537545413,,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
glucose_aerobic,APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,0.00017110766922479907,,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
glucose_aerobic,APSR,Adenosine 5'-phosphosulfate reductase;,0.09448826376241555,,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c
glucose_aerobic,ARGSL,Argininosuccinate lyase,0.11348044774740307,,argsuc_c <=> arg__L_c + fum_c
glucose_aerobic,ARGSS,Argininosuccinate synthase,0.11348044774740307,,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
glucose_aerobic,ASAD,Aspartate-semialdehyde dehydrogenase,-0.8766858729020435,,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
glucose_aerobic,ASLP,,0.1269093305856893,,asp__L_c + co2_c + nh4_c <=> cbasp_c + h2o_c + 2.0 h_c
glucose_aerobic,ASNS1,Asparagine synthase (glutamine-hydrolysing),0.09248062602014337,,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
glucose_aerobic,ASP1DC,Aspartate 1-decarboxylase,0.0002209821019585334,,asp__L_c + h_c --> ala_B_c + co2_c
glucose_aerobic,ASPK,Aspartate kinase,0.8766858729020435,,asp__L_c + atp_c <=> 4pasp_c + adp_c
glucose_aerobic,ASPO5,L-aspartate oxidase,0.0008739535212871907,,asp__L_c + fum_c --> h_c + iasp_c + succ_c
glucose_aerobic,ASPTA,Aspartate transaminase,-1.5895491966037985,,akg_c + asp__L_c <=> glu__L_c + oaa_c
glucose_aerobic,ATPPRT,ATP phosphoribosyltransferase,0.036346184679414834,,atp_c + prpp_c --> ppi_c + prbatp_c
glucose_aerobic,ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),16.177099710345228,,adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c
glucose_aerobic,BCOALIG,Benzoate CoA ligase,3.836494825668141e-05,,atp_c + bz_c + coa_c + 4.0 h_c --> amp_c + benzcoa_c + ppi_c
glucose_aerobic,BSCT,Benzoylsuccinyl-CoA thiolase,-3.836494825668141e-05,,coa_c + 4.0 h_c + sbzcoa_c <=> benzcoa_c + succoa_c
glucose_aerobic,CA2abc,Calcium transport via ABC system,0.0019968955567602675,,atp_c + ca2_e + h2o_c --> adp_c + ca2_c + h_c + pi_c
glucose_aerobic,CAT,Catalase,3.797813785683733,,2.0 h2o2_c --> 2.0 h2o_c + o2_c
glucose_aerobic,CBMKr,Carbamate kinase,0.11348044774740307,,atp_c + co2_c + nh4_c <=> adp_c + cbp_c + 2.0 h_c
glucose_aerobic,CHORM,Chorismate mutase,0.12410446921864329,,chor_c --> pphn_c
glucose_aerobic,CHORS,Chorismate synthase,0.14616891826002595,,3psme_c --> chor_c + pi_c
glucose_aerobic,CO2t,CO2 transporter via diffusion,-22.482094763806256,,co2_e <=> co2_c
glucose_aerobic,COBALTt5,Cobalt (Co+2) transport via diffusion (extracellular to cytoplasm),-3.836494825668141e-05,,cobalt2_c <=> cobalt2_e
glucose_aerobic,CPPPGO,Coproporphyrinogen oxidase (O2 required),0.0001044485716288103,,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
glucose_aerobic,CTPS1,CTP synthase  NH3,0.061585333189037826,,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c
glucose_aerobic,CYSTS,Cystathionine beta synthase,0.035441155550039766,,hcys__L_c + ser__L_c --> cyst__L_c + h2o_c
glucose_aerobic,CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),32.402275688299355,,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c
glucose_aerobic,Clt,Major Facilitator(MFS) TCDB:2.A.1.14.6,0.0019968955567602675,,cl_e <=> cl_c
glucose_aerobic,Cuabc,Copper transport via ABC system,0.0002720074831398712,,atp_c + cu2_e + h2o_c --> adp_c + cu2_c + h_c + pi_c
glucose_aerobic,DAPE,Diaminopimelate epimerase,0.6088505778850863,,26dap_LL_c <=> 26dap__M_c
glucose_aerobic,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",0.00034221533844959814,,ru5p__D_c --> db4p_c + for_c
glucose_aerobic,DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,0.14616891826002595,,e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
glucose_aerobic,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0.757734199883755,,23dhmb_c --> 3mob_c + h2o_c
glucose_aerobic,DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0.11146130052065392,,23dhmp_c --> 3mop_c + h2o_c
glucose_aerobic,DHDPRy,Dihydrodipicolinate reductase (NADPH),0.6088505778850863,,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c
glucose_aerobic,DHDPS,Dihydrodipicolinate synthase,0.6088505778850863,,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c
glucose_aerobic,DHFR,Dihydrofolate reductase,0.010295233864680493,,dhf_c + h_c + nadph_c <=> nadp_c + thf_c
glucose_aerobic,DHFS,Dihydrofolate synthase,0.00025666150383723673,,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
glucose_aerobic,DHNAOT_1,1 4 dihydroxy 2 naphthoate octaprenyltransferase,3.836494825668141e-05,,dhna_c + nad_c + octdp_c --> 2dmmq8_c + co2_c + nadh_c + ppi_c
glucose_aerobic,DHNPA_1,Dihydroneopterin aldolase,0.00025666150383723673,,dhnpt_c --> 2ahhmp_c + gcald_c
glucose_aerobic,DHORDi,Dihydoorotic acid dehydrogenase  irreversible,0.1269093305856893,,dhor__S_c + o2_c --> h2o2_c + orot_c
glucose_aerobic,DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),0.00017110766922479907,,25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c
glucose_aerobic,DHPS,Dihydropteroate synthase,0.00025666150383723673,,2ahhmp_c + 4abz_c --> dhpt_c + h2o_c
glucose_aerobic,DHQS,3-dehydroquinate synthase,0.14616891826002595,,2dda7p_c --> 3dhq_c + pi_c
glucose_aerobic,DHQTi,"3-dehydroquinate dehydratase, irreversible",0.14616891826002595,,3dhq_c --> 3dhsk_c + h2o_c
glucose_aerobic,DHR_1,,0.1269093305856893,,cbasp_c + h_c <=> dhor__S_c + h2o_c
glucose_aerobic,DMATT,Dimethylallyltranstransferase,0.03840331320493809,,dmpp_c + ipdp_c --> grdp_c + ppi_c
