species,condition,reaction_id,reaction_name,reaction_equation,flux
B_subtilis,dextrin_aerobic,UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,pep_c + uacgam_c --> pi_c + uaccg_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,h_c + nadph_c + uaccg_c --> nadp_c + uamr_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c,0.08958122634924003
B_subtilis,dextrin_aerobic,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",udcpp_c + ugmda_c --> uagmda_c + ump_c,0.08958122634924003
B_subtilis,dextrin_aerobic,UAG4E,UDP N acetylglucosamine 4 epimerase,uacgam_c --> uacgala_c,0.0821405393202024
B_subtilis,dextrin_aerobic,PRATPP,Phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,0.07191608337075862
B_subtilis,dextrin_aerobic,ANS,Anthranilate synthase,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,0.047806216200755335
B_subtilis,dextrin_aerobic,ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <=> 3ohcoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),accoa_c + hxcoa_c <=> 3oocoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <=> 3odcoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,accoa_c + dccoa_c <=> 3oddcoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,ACACT6r_1,Acetyl CoA C acyltransferase  dodecanoyl CoA,accoa_c + ddcoa_c <=> 3otdcoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,ACACT1r,Acetyl-CoA C-acetyltransferase,2.0 accoa_c <=> aacoa_c + coa_c,0.02461400736955851
B_subtilis,dextrin_aerobic,HACD1_1,3 hydroxyacyl CoA dehydrogenase  acetoacetyl CoA,aacoa_c + h_c + nadh_c <=> 3hbycoa_c + nad_c,0.02461400736955851
B_subtilis,dextrin_aerobic,NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),atp_c + dadp_c <=> adp_c + datp_c,0.020220157183557106
B_subtilis,dextrin_aerobic,DTMPK,DTMP kinase,atp_c + dtmp_c <=> adp_c + dtdp_c,0.020147131639816997
B_subtilis,dextrin_aerobic,NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c <=> adp_c + dttp_c,0.020147131639816997
B_subtilis,dextrin_aerobic,ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),accoa_c + tdcoa_c <=> 3ohdcoa_c + coa_c,0.018933851822737314
B_subtilis,dextrin_aerobic,NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),atp_c + dgdp_c <=> adp_c + dgtp_c,0.015307209758921182
B_subtilis,dextrin_aerobic,NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),atp_c + dcdp_c <=> adp_c + dctp_c,0.015291372894013687
B_subtilis,dextrin_aerobic,ACLDC,Acetolactate decarboxylase,alac__S_c + h_c --> actn__R_c + co2_c,0.015073176088621576
B_subtilis,dextrin_aerobic,ACTD2,Acetoin dehydrogenase,actn__R_c + coa_c + nad_c --> acald_c + accoa_c + h_c + nadh_c,0.015073176088621548
B_subtilis,dextrin_aerobic,EX_for_e,Formate exchange,for_e --> ,0.006957662649397067
